founder,company,post_url,date,format,hook_text,full_text,reactions,comments,reposts,theme,pillar,cta_type,source,collected_at
Nick Huber,Somewhere.com,https://www.linkedin.com/posts/sweatystartup_a-lot-of-people-are-worried-about-an-overseas-activity-7166793857681088512-OZQu,2024-02-23,unknown,A lot of people are worried about an overseas employee managing their inbox,A lot of people are worried about an overseas employee managing their inbox,,,,,,,websearch:2026-07-06,2026-07-06
Nick Huber,Somewhere.com,https://www.linkedin.com/posts/sweatystartup_real-estate-is-the-best-business-in-the-world-activity-7437615507559563265-Cg51,2026-03-11,unknown,Real estate is the best business in the world if you have...,Real estate is the best business in the world if you have...,,,,,,,websearch:2026-07-06,2026-07-06
Nick Huber,Somewhere.com,https://www.linkedin.com/posts/sweatystartup_how-to-print-millions-out-of-thin-air-in-activity-7341916664868847618-I3QN,2025-06-20,unknown,How To Print Millions Out Of Thin Air in Real Estate,How To Print Millions Out Of Thin Air in Real Estate,,,,,,,websearch:2026-07-06,2026-07-06
Nick Huber,Somewhere.com,https://www.linkedin.com/posts/sweatystartup_my-20-essential-tools-to-start-any-business-activity-7286159106078396417-uC2L,2025-01-17,unknown,My 20+ essential tools to start any business.,My 20+ essential tools to start any business.,,,,,,,websearch:2026-07-06,2026-07-06
Nick Huber,Somewhere.com,https://lk.linkedin.com/posts/sweatystartup_sweaty-startup-email-newsletter-activity-7033860021624967168-48f7,2023-02-21,unknown,Sweaty Startup Email Newsletter,Sweaty Startup Email Newsletter,,,,,,,websearch:2026-07-06,2026-07-06
Go Carpathian,Go Carpathian,https://www.linkedin.com/posts/go-carpathian_top-10-best-remote-recruitment-agencies-in-activity-7378798422197239808-J44H,2025-09-30,unknown,Characteristics of top remote recruitment agencies (Top 10 best remote recruitment agencies),Characteristics of top remote recruitment agencies (Top 10 best remote recruitment agencies),,,,,,,websearch:2026-07-06,2026-07-06
Go Carpathian,Go Carpathian,https://www.linkedin.com/posts/go-carpathian_how-to-hire-an-employee-for-a-small-business-activity-7396309840110796801-Ih_X,2025-11-17,unknown,How to hire smarter for your small business,How to hire smarter for your small business,,,,,,,websearch:2026-07-06,2026-07-06
Go Carpathian,Go Carpathian,https://www.linkedin.com/posts/go-carpathian_top-16-accounting-and-finance-recruitment-activity-7394492521726431232-GwhU,2025-11-12,unknown,How to hire finance talent in half the time with the right recruiter,How to hire finance talent in half the time with the right recruiter,,,,,,,websearch:2026-07-06,2026-07-06
Go Carpathian,Go Carpathian,https://www.linkedin.com/posts/nathanfales_our-first-client-left-us-a-scathing-review-activity-7379240726720802816-_D7k,2025-10-01,unknown,Our first client left us a scathing review (lessons from Go Carpathian's first client),Our first client left us a scathing review (lessons from Go Carpathian's first client),,,,,,,websearch:2026-07-06,2026-07-06
Go Carpathian,Go Carpathian,https://www.linkedin.com/posts/nathanfales_lean-leverage-go-carpathian-activity-7271886715118579712-Pz91,2024-12-09,unknown,Lean Leverage by Go Carpathian,Lean Leverage by Go Carpathian,,,,,,,websearch:2026-07-06,2026-07-06
Go Carpathian,Go Carpathian,https://www.linkedin.com/posts/nathanfales_if-you-have-the-resources-and-patience-to-activity-7257376309046063104-fjzf,2024-10-30,unknown,If you have the resources and patience to...,If you have the resources and patience to...,,,,,,,websearch:2026-07-06,2026-07-06
Go Carpathian,Go Carpathian,https://www.linkedin.com/posts/nathanfales_a-bit-late-but-go-carpathian-won-second-place-activity-7185647513792581633-hhNh,2024-04-15,unknown,A bit late but Go Carpathian won second place,A bit late but Go Carpathian won second place,,,,,,,websearch:2026-07-06,2026-07-06
Kadraa (Mike + Haaken),Kadraa,https://www.linkedin.com/posts/kadraa_kadraa-digitalmarketing-recruiters-activity-7188793816575885312-ATbT,2024-04-24,unknown,#kadraa #digitalmarketing #recruiters #offshorehiring,#kadraa #digitalmarketing #recruiters #offshorehiring,,,,,,,websearch:2026-07-06,2026-07-06
Kadraa (Mike + Haaken),Kadraa,https://www.linkedin.com/posts/kadraa_remoteseojobs-remoteseoroles-digitalmarketingjobs-activity-7115257220665081857-xIvN,2023-10-04,unknown,#remoteseojobs #remoteseoroles #digitalmarketingjobs,#remoteseojobs #remoteseoroles #digitalmarketingjobs,,,,,,,websearch:2026-07-06,2026-07-06
Kadraa (Mike + Haaken),Kadraa,https://www.linkedin.com/posts/michael-prince-97280648_kadraa-digitalmarketing-recruiters-activity-7188793815506325504-_5xP,2024-04-24,unknown,Michael Prince: #kadraa #digitalmarketing #recruiters (founder share),Michael Prince: #kadraa #digitalmarketing #recruiters (founder share),,,,,,,websearch:2026-07-06,2026-07-06
Monty Ngan,Pearl Talent,https://www.linkedin.com/posts/montyngan_catena-is-nowpearl-talent-growing-up-activity-7207034578450935809-A4gu,2024-06-13,unknown,Catena is now... Pearl Talent! Growing up,Catena is now... Pearl Talent! Growing up,,,,,,,websearch:2026-07-06,2026-07-06
Monty Ngan,Pearl Talent,https://www.linkedin.com/posts/montyngan_folks-always-ask-me-why-i-started-pearl-talent-activity-7260652315152453632-DvFt,2024-11-08,unknown,Folks always ask me why I started Pearl Talent,Folks always ask me why I started Pearl Talent,,,,,,,websearch:2026-07-06,2026-07-06
Monty Ngan,Pearl Talent,https://www.linkedin.com/posts/montyngan_pearl-talent-customer-success-director-activity-7333887349182914560-L8so,2025-05-29,unknown,Customer Success Director (Internal Role),Customer Success Director (Internal Role),,,,,,,websearch:2026-07-06,2026-07-06
Monty Ngan,Pearl Talent,https://www.linkedin.com/posts/montyngan_this-email-changed-my-life-two-years-ago-activity-7226210608679964672-aEgd,2024-08-05,unknown,This email changed my life. Two years ago...,This email changed my life. Two years ago...,,,,,,,websearch:2026-07-06,2026-07-06
Monty Ngan,Pearl Talent,https://www.linkedin.com/posts/montyngan_pineapple-list-the-best-agencies-activity-7067198135059582978-hVa_,2023-05-24,unknown,Pineapple List - The Best Agencies,Pineapple List - The Best Agencies,,,,,,,websearch:2026-07-06,2026-07-06
Angel Salinas,Remote Talent LATAM,https://www.linkedin.com/posts/salinassandino_remotetalent-recruitment-latam-activity-7275555874717282304-abYd,2024-12-19,unknown,#remotetalent #recruitment #latam,#remotetalent #recruitment #latam,,,,,,,websearch:2026-07-06,2026-07-06
Nick Huber,Somewhere.com,https://www.linkedin.com/posts/sweatystartup_how-to-navigate-the-messy-middle-activity-7274487202875678720-xp7h,2024-12-16,unknown,How to navigate the messy middle,How to navigate the messy middle,,,,,,,websearch:2026-07-07,2026-07-07
Nick Huber,Somewhere.com,https://www.linkedin.com/posts/sweatystartup_the-importance-of-content-and-do-follow-backlinks-activity-7279568247685857281-UxlY,2024-12-30,unknown,The importance of content and do-follow backlinks in SEO,The importance of content and do-follow backlinks in SEO,,,,,,,websearch:2026-07-07,2026-07-07
Nick Huber,Somewhere.com,https://www.linkedin.com/posts/sweatystartup_12-yrs-ago-in-a-college-entrepreneurship-activity-7155303113036386305-7_JL,2024-01-22,unknown,12 yrs ago in a college entrepreneurship class...,12 yrs ago in a college entrepreneurship class...,,,,,,,websearch:2026-07-07,2026-07-07
Nick Huber,Somewhere.com,https://www.linkedin.com/posts/sweatystartup_in-business-there-are-two-types-of-delegation-activity-7095795864153051137-y8QZ,2023-08-11,unknown,"In business, there are two types of delegation.","In business, there are two types of delegation.",,,,,,,websearch:2026-07-07,2026-07-07
Nick Huber,Somewhere.com,https://www.linkedin.com/posts/sweatystartup_shepherd-headhunter-agency-for-overseas-activity-7178428023292002304-PEpg,2024-03-26,unknown,Shepherd - Headhunter Agency for Overseas Talent,Shepherd - Headhunter Agency for Overseas Talent,,,,,,,websearch:2026-07-07,2026-07-07
Go Carpathian,Go Carpathian,https://www.linkedin.com/posts/nathanfales_interview-questions-activity-7250490901980921856-MTo1,2024-10-11,unknown,Interview Questions,Interview Questions,,,,,,,websearch:2026-07-07,2026-07-07
Go Carpathian,Go Carpathian,https://www.linkedin.com/posts/nathanfales_lean-leverage-activity-7251940319850606592-Wb2B,2024-10-15,unknown,Lean Leverage,Lean Leverage,,,,,,,websearch:2026-07-07,2026-07-07
Go Carpathian,Go Carpathian,https://www.linkedin.com/posts/nathanfales_opentowork-activity-7260086288660258816-xHz2,2024-11-07,unknown,opentowork (commentary post),opentowork (commentary post),,,,,,,websearch:2026-07-07,2026-07-07
Go Carpathian,Go Carpathian,https://www.linkedin.com/posts/go-carpathian_hiring-activity-7222566111186161665-DHuU,2024-07-26,unknown,hiring (role announcement),hiring (role announcement),,,,,,,websearch:2026-07-07,2026-07-07
Go Carpathian,Go Carpathian,https://www.linkedin.com/posts/go-carpathian_hiring-activity-7170755348453117952-XQu4,2024-03-05,unknown,hiring (role announcement),hiring (role announcement),,,,,,,websearch:2026-07-07,2026-07-07
Go Carpathian,Go Carpathian,https://www.linkedin.com/posts/go-carpathian_hiring-activity-7157029501397291008-e6gT,2024-01-27,unknown,#hiring (role announcement),#hiring (role announcement),,,,,,,websearch:2026-07-07,2026-07-07
Kadraa (Mike + Haaken),Kadraa,https://www.linkedin.com/posts/michael-prince-97280648_jobhunting-marketing-kadraa-activity-7191330527235174403-r_16,2024-05-01,unknown,#jobhunting #marketing #kadraa #remotework (Michael Prince),#jobhunting #marketing #kadraa #remotework (Michael Prince),,,,,,,websearch:2026-07-07,2026-07-07
Monty Ngan,Pearl Talent,https://www.linkedin.com/posts/montyngan_adobes-ceo-steps-down-after-18-years-because-activity-7439296814484451329-HyIA,2026-03-16,unknown,Adobe's CEO steps down after 18 years because investors questioned whether Adobe was innovating fast enough in AI,Adobe's CEO steps down after 18 years because investors questioned whether Adobe was innovating fast enough in AI,,13,,,,,websearch:2026-07-07,2026-07-07
Angel Salinas,Remote Talent LATAM,https://www.linkedin.com/posts/salinassandino_the-1-role-marketing-agencies-hire-from-activity-7427014739009900544-lFAu,2026-02-10,unknown,The #1 role marketing agencies hire from LATAM: Account...,The #1 role marketing agencies hire from LATAM: Account...,,,,,,,websearch:2026-07-07,2026-07-07
